"First-Class Mail Metered Letter","First-Class Mail Standardisierter Brief"
"First-Class Mail Parcel","First-Class Mail Paket"
"First-Class Mail Postcards","First-Class Mail Postkarten"
"First-Class Mail Stamped Letter","First-Class Mail Gestempelter Brief"
"First-Class Package International Service","First-Class Package International"
"First-Class Package Service","First-Class Package"
"First-Class Package Service Hold For Pickup","First-Class Package Abholung"
"Flat","Festkosten"
"Flat-Rate Box","Festkosten Box"
"Flat-Rate Envelope","Festkosten Umschlag"
"Free Method","Kostenfreie Methode"
"Free Shipping with Minimum Order Amount","Versandkostenfrei ab"
"Freight","Fracht"
"Freight worldwide","Fracht Weltweit"
"Gateway URL","Gateway URL"
"Gateway XML URL","Gateway XML URL"
"Gift","Geschenk"
"Girth","Umfang"
"Global Express Guaranteed (GXG)","Global Express Guaranteed (GXG)"
"Global Express Guaranteed Document","Global Express Guaranteed Dokument"
"Global Express Guaranteed Non-Document Non-Rectangular","Global Express Guaranteed Nicht-Dokument Nicht-Rechteckig"
"Global Express Guaranteed Non-Document Rectangular","Global Express Guaranteed Nicht-Dokument Rechteckig"
"Globalmail business","Globalmail Geschäftlich"
"Ground","Landweg"
"Ground Commercial","Landweg Geschäftlich"
"Ground Residential","Landweg Privatanschrift"
"Handling Applied","Hinzugefügte Bearbeitungsgebühr"
"Handling Fee","Bearbeitungsgebühr"
"Height","Höhe"
"Height, width and length should be equal or greater than %s","Höhe, Breite und Länge sollten gleich oder größer als %s sein."
"Home Delivery","Lieferung frei Haus"
"Hub ID","Hub-ID"
"Inches","Zoll"
"Indirect","Indirekt"
"International Economy","International Economy"
"International Express","International Express"
"International First","International Erste Klasse (International First)"
"International Ground","International Landweg"
"International Priority","International Priorität (International Priority)"
"International Shipment Days","International Versandtage"
"Intl Economy Freight","International Economy Fracht"
"Intl Priority Freight","International Priorität Fracht"
"Jetline","Jetline"
"Jumbo box","Jumbo Box"
"Key","Schlüssel"
"Kilograms","Kilogramm"
"Large","Groß"
"Large Express Box","Große Expressbox"
"Length","Länge"
"Letter","Brief"
"Library","Bibliothek"
"Library Mail","Library Mail"
"Library Mail Parcel","Library Mail Parcel"
"Live","Live"
"Machinable","Maschinell bearbeitbar"
"Maximum Package Weight (Please consult your shipping carrier for maximum supported shipping weight)","Höchstgewicht pro Sendung (Bitte fragen Sie Ihren Versand&shy;dienst&shy;leister nach dem zulässigen Höchst&shy;gewicht einer Sendung.)"
"Media Mail","Medienversand"
"Media Mail Parcel","Media Mail Parcel"
"Medical express","Medikamente Express"
"Medium Express Box","Mittlere Expressbox"
"Merchandise","Werbeartikel"
"Meter Number","Anzahl Meter"
"Minimum Order Amount for Free Shipping","Mindestbestellwert für versandkostenfreie Lieferung"
"Minimum Package Weight (Please consult your shipping carrier for minimum supported shipping weight)","Mindestgewicht pro Sendung (Bitte fragen Sie Ihren Versand&shy;dienst&shy;leister nach dem zulässigen Mindest&shy;gewicht einer Sendung.)"
"Mode","Modus"
"National Freight","Inland-Fracht"
"Next Afternoon","Am nächsten Nachmittag"
"Next Day Air","Am nächsten Tag per Luftpost"
"Next Day Air Early AM","Am nächsten Tag per Luftpost am frühen Vormittag"
"Next Day Air Early AM Letter","Am nächsten Tag per Luftbrief am frühen Vormittag"
"Next Day Air Intra (Puerto Rico)","Am nächsten Tag per Inlands-Luftpost (Puerto Rico)"
"Next Day Air Letter","Am nächsten Tag per Luftbrief"
"Next Day Air Saver","Am nächsten Tag per Luftpost Zuverlässig"
"Next Day Air Saver Letter","Am nächsten Tag per Luftbrief Zuverlässig"
"No","Nein"
"No packages for request","Keine Pakete für diese Anfrage"
"Non Documents","Keine Dokumente"
"Non documents","Keine Dokumente"
"Non-rectangular","Nicht rechteckig"
"None","keine"
"Not Required","Nicht erforderlich"
"Order","Bestellung"
"Order #%s","Bestellung Nr. %s"
"Origin of the Shipment","Herkunftsort der Sendung"
"Origin serviceAreaCode is missing","ServiceAreaCode des Herkunftsortes fehlt"
"Other","Andere"
"Others","Andere"
"PAK","PAK"
"Package","Paket"
"Package Description","Paketbeschreibung"
"Package content is missing","Paketinhalt fehlt"
"Packages Request Type","Pakete Anfrageart"
"Packaging","Verpackung"
"Pallet","Palette"
"Parcel","Paket"
"Parcel Post","Paketpost"
"Password","Passwort"
"Pickup Method","Abholart"
"Piece Id barcode is missing","Barcode eines Pakets fehlt"
"Piece number information is missing","Nummerninformation eines Pakets fehlt"
"Please make sure to use only digits here. No dashes are allowed.","Bitte achten Sie darauf, hier nur Ziffern zu verwenden. Bindstriche oder Leerzeichen sind nicht erlaubt."
"Please, specify origin country","Bitte geben Sie das Herkunftsland an"
"Pounds","Pfund"
"Priority Mail","Eilpost"
"Priority Mail Express","Eilpost Express"
"Priority Mail Express Flat Rate Boxes","Eilpost Express Flat Rate Boxen"
"Priority Mail Express Flat Rate Boxes Hold For Pickup","Eilpost Express Flat Rate Boxen Abholung"
"Priority Mail Express Flat Rate Envelope","Eilpost Express Flat Rate Umschlag"
"Priority Mail Express Flat Rate Envelope Hold For Pickup","Eilpost Express Flat Rate Umschlag Abholung"
"Priority Mail Express Hold For Pickup","Eilpost Express Abholung"
"Priority Mail Express International","Eilpost Express International"
"Priority Mail Express International Flat Rate Boxes","Eilpost Express International Flat Rate Boxen"
"Priority Mail Express International Flat Rate Envelope","Eilpost Express International Flat Rate Umschlag"
"Priority Mail Express International Legal Flat Rate Envelope","Eilpost Express International Legal Flat Rate Umschlag"
"Priority Mail Express International Padded Flat Rate Envelope","Eilpost Express International Padded Flat Rate Umschlag"
"Priority Mail Express Legal Flat Rate Envelope","Eilpost Express Legal Flat Rate Umschlag"
"Priority Mail Express Legal Flat Rate Envelope Hold For Pickup","Eilpost Express Legal Flat Rate Umschlag Abholung"
"Priority Mail Express Padded Flat Rate Envelope","Eilpost Express Padded Flat Rate Umschlag"
"Priority Mail Express Padded Flat Rate Envelope Hold For Pickup","Eilpost Express Padded Flat Rate Umschlag Abholung"
"Priority Mail Express Sunday/Holiday Delivery","Eilpost Express Sonntags-/Feiertagszustellung"
"Priority Mail Express Sunday/Holiday Delivery Flat Rate Boxes","Eilpost Express Sonntags-/Feiertagszustellung Flat Rate Boxen"
"Priority Mail Express Sunday/Holiday Delivery Flat Rate Envelope","Eilpost Express Sonntags-/Feiertagszustellung Flat Rate Umschlag"
"Priority Mail Express Sunday/Holiday Delivery Legal Flat Rate Envelope","Eilpost Express Sonntags-/Feiertagszustellung Legal Rate Umschlag"
"Priority Mail Express Sunday/Holiday Delivery Padded Flat Rate Envelope","Eilpost Express Sonntags-/Feiertagszustellung Padded Flat Rate Umschlag"
"Priority Mail Flat Rate Envelope","Eilpost Flat Rate Umschlag"
"Priority Mail Flat Rate Envelope Hold For Pickup","Eilpost Flat Rate Umschlag Abholung"
"Priority Mail Gift Card Flat Rate Envelope","Eilpost Geschenkkarte Flat Rate Umschlag"
"Priority Mail Gift Card Flat Rate Envelope Hold For Pickup","Eilpost Geschenkkarte Flat Rate Umschlag Abholung"
"Priority Mail Hold For Pickup","Eilpost Abholung"
"Priority Mail International","Eilpost International"
"Priority Mail International DVD Flat Rate priced box","Eilpost International DVD Flat Rate kostenpflichtige Box"
"Priority Mail International Flat Rate Envelope","Eilpost International Flat Rate Umschlag"
"Priority Mail International Gift Card Flat Rate Envelope","Eilpost International Geschenkkarte Flat Rate Umschlag"
"Priority Mail International Large Flat Rate Box","Eilpost International Large Flat Rate Box"
"Priority Mail International Large Video Flat Rate priced box","Eilpost International Large Video Flat Rate kostenpflichtige Box"
"Priority Mail International Legal Flat Rate Envelope","Eilpost International Legal Flat Rate Umschlag"
"Priority Mail International Medium Flat Rate Box","Eilpost International Medium Flat Rate Box"
"Priority Mail International Padded Flat Rate Envelope","Eilpost International Padded Flat Rate Umschlag"
"Priority Mail International Small Flat Rate Box","Eilpost International Small Flat Rate Box"
"Priority Mail International Small Flat Rate Envelope","Eilpost International Small Flat Rate Umschlag"
"Priority Mail International Window Flat Rate Envelope","Eilpost International Window Flat Rate Umschlag"
"Priority Mail Large Flat Rate Box","Eilpost Large Flat Rate Box"
"Priority Mail Large Flat Rate Box Hold For Pickup","Eilpost Large Flat Rate Box Abholung"
"Priority Mail Legal Flat Rate Envelope","Eilpost Legal Flat Rate Umschlag"
"Priority Mail Legal Flat Rate Envelope Hold For Pickup","Eilpost Legal Flat Rate Umschlag Abholung"
"Priority Mail Medium Flat Rate Box","Eilpost Medium Flat Rate Box"
"Priority Mail Medium Flat Rate Box Hold For Pickup","Eilpost Medium Flat Rate Box Abholung"
"Priority Mail Padded Flat Rate Envelope","Eilpost Padded Flat Rate Umschlag"
"Priority Mail Padded Flat Rate Envelope Hold For Pickup","Eilpost Padded Flat Rate Umschlag Abholung"
"Priority Mail Regional Rate Box A","Eilpost Regional Rate Box A"
"Priority Mail Regional Rate Box A Hold For Pickup","Eilpost Regional Rate Box A Abholung"
"Priority Mail Regional Rate Box B","Eilpost Regional Rate Box B"
"Priority Mail Regional Rate Box B Hold For Pickup","Eilpost Regional Rate Box B Abholung"
"Priority Mail Regional Rate Box C","Eilpost Regional Rate Box C"
"Priority Mail Regional Rate Box C Hold For Pickup","Eilpost Regional Rate Box C Abholung"
"Priority Mail Small Flat Rate Box","Eilpost Small Flat Rate Box"
"Priority Mail Small Flat Rate Box Hold For Pickup","Eilpost Small Flat Rate Box Abholung"
"Priority Mail Small Flat Rate Envelope","Eilpost Small Flat Rate Umschlag"
"Priority Mail Small Flat Rate Envelope Hold For Pickup","Eilpost Small Flat Rate Umschlag Abholung"
"Priority Mail Window Flat Rate Envelope","Eilpost Window Flat Rate Umschlag"
"Priority Mail Window Flat Rate Envelope Hold For Pickup","Eilpost Window Flat Rate Umschlag Abholung"
"Priority Overnight","Eilpost Übernacht"
"Product content code is invalid","Artikel-Inhaltscode ist ungültig"
"Product name is missing","Artikelname fehlt"
"Receiver","Empfänger"
"Rectangular","Rechteckig"
"Reference code is missing","Referenzcode fehlt"
"Regular","Standard"
"Regular Pickup","Standardabholung"
"Request Courier","Kurier anfordern"
"Required","Erforderlich"
"Required for negotiated rates; 6-character UPS.","Erforderlich für vereinbarte Versandkosten; 6 Zeichen UPS."
"Residential","Privatanschrift"
"Residential Delivery","Lieferung an Privatanschrift"
"Response is in the wrong format","Antwort liegt im falschen Format vor"
"Retail Ground","Retail Ground (früher: 'Standard Post')"
"Return","Retoure / Rücksendung"
"Round","Runden"
"Routing barcode is missing","Routing-Barcode fehlt"
"Same day","Am selben Tag"
"Sample","Beispiel"
"Sandbox Mode","Sandbox Modus"
"Second Day Service","Zustellung am zweiten Tag"
"Secure Gateway URL","Sichere Gateway URL"
"Secureline","Secureline"
"Sender","Absender"
"Sender city info is missing","Stadt des Absenders fehlt"
"Sender contact name is missing","Kontaktname des Absenders fehlt"
"Sender country info is missing","Land des Absenders fehlt"
"Service type does not match","Service-Typ stimmt nicht überein"
"Ship to Applicable Countries","Versand in erlaubte Länder"
"Ship to Specific Countries","Versand in bestimmte Länder"
"Shipment Contains Hazardous Materials","Sendung enthält gefährliche Stoffe"
"Shipment Dutiable","Versand zollpflichtig"
"Shipment Duty Payment Type","Zahlweise für Zoll"
"Shipment Type","Versandart"
"Shipment is not available.","Versand ist nicht verfügbar."
"Shipment picked up","Sendung abgeholt"
"Shipper Number","Nummer des Spediteurs"
"Shipping Accept XML URL","Versand XML URL akzeptieren"
"Shipping Confirm XML URL","Versand XML URL bestätigen"
"Shipping Key","Versandkennung"
"Shipping Key (International)","Versandkennung (international)"
"Show Method if Not Applicable","Versandart zeigen, auch wenn nicht möglich"
"Signature Required","Unterschrift erforderlich"
"Size","Größe"
"Small Express Box","Kleine Express Box"
"Smart Post","Smart Post"
"Sort Order","Reihenfolge"
"Specific","Bestimmte"
"Sprintline","Sprintline"
"Standard Overnight","Standard Über Nacht"
"Standard Post","Standard-Postversand"
"Station","Station"
"Subtotal","Zwischensumme"
"Subtotal With Discount","Zwischensumme mit Rabatt"
"The field is applicable if the Smart Post method is selected.","Dieses Feld ist verfügbar, wenn die Smart-Post-Methode ausgewählt ist."
"The response is in wrong format.","Die Antwort hat ein falsches Format."
"There is no available method for selected shipping address.","Für diese Lieferanschrift gibt es keine zulässige Versandart."
"There is no items in this order","Es gibt keine Artikel in dieser Bestellung."
"Third Party","Drittanbieter"
"Title","Titel"
"To Lower","Abrunden"
"To Upper","Aufrunden"
"Tracking XML URL","Nachverfolgung XML URL"
"UPS","UPS"
"UPS Expedited","UPS Expeditiert"
"UPS Express","UPS Express"
"UPS Express Box","UPS Express Box"
